"USER_NAME","HAS_FINANCIAL_AUTH","HAS_HR_FULL_AUTH","HAS_HR_LIMITED_AUTH","HAS_PAYROLL_AUTH","WAREHOUSE_LOAD_DATE"
"JA25416","N","N","N","N",28-OCT-24
"CH25356","N","N","N","N",28-OCT-24
"GBEAU","N","N","N","N",28-OCT-24
"WROUSH","N","N","N","N",28-OCT-24
"MI25418","N","N","N","N",28-OCT-24
"KACOTE","N","N","N","N",28-OCT-24
"CSTEELMA","N","N","N","N",28-OCT-24
"QUNL","N","N","N","N",28-OCT-24
"VIVIANR","N","N","N","N",28-OCT-24
"CMATHEWS","Y","N","N","N",28-OCT-24
"HO25574","N","N","N","N",28-OCT-24
"MI25533","N","N","N","N",28-OCT-24
"LO25526","N","N","N","N",28-OCT-24
"CANAND","Y","N","N","N",28-OCT-24
"AL25390","N","N","N","N",28-OCT-24
"SKARTHIK","N","N","N","N",28-OCT-24
"BR25539","N","N","N","N",28-OCT-24
"MI23169","N","N","N","N",28-OCT-24
"CR25550","N","N","N","N",28-OCT-24
"CVONDRAK","N","N","N","N",28-OCT-24
"ZBOGORAD","N","N","N","N",28-OCT-24
"GAIER","N","N","N","N",28-OCT-24
"JMARTIS","N","N","N","N",28-OCT-24
"MBURT","Y","N","N","N",28-OCT-24
"YFUENTES","Y","N","N","N",28-OCT-24
"CMWAY","Y","N","N","Y",28-OCT-24
"JUPTON","Y","N","N","N",28-OCT-24
"JGUBB","N","N","N","N",28-OCT-24
"EGUCHIL","N","N","N","N",28-OCT-24
"JOAOPACH","N","N","N","N",28-OCT-24
"EDWARDMC","Y","Y","N","Y",28-OCT-24
"MTV10","Y","N","N","N",28-OCT-24
"GUNNING","N","Y","N","N",28-OCT-24
"HEBELK","N","N","N","N",28-OCT-24
"SIDNANI","N","N","N","N",28-OCT-24
"LEIWANG1","N","N","N","N",28-OCT-24
"SAVHILD","N","N","N","N",28-OCT-24
"RHASANI","N","N","N","N",28-OCT-24
"MEHDIP","N","N","N","N",28-OCT-24
"JMARION","Y","N","N","N",28-OCT-24
"SANTOROI","N","N","N","N",28-OCT-24
"PODGORSK","N","N","N","N",28-OCT-24
"LUISVC","Y","N","N","N",28-OCT-24
"XIAOYIHU","N","N","N","N",28-OCT-24
"AGARNER","Y","N","N","N",28-OCT-24
"NNAKATA","Y","N","N","N",28-OCT-24
"VOYIATZI","Y","N","N","Y",28-OCT-24
"JRLEVINE","Y","N","N","N",28-OCT-24
"LHAN","N","N","N","N",28-OCT-24
"CGAMMON","Y","N","N","N",28-OCT-24
"CO29064","N","N","N","N",28-OCT-24
"MOLLYJ","Y","N","N","N",28-OCT-24
"MARTINB","Y","N","N","N",28-OCT-24
"NMEULEN","N","N","N","N",28-OCT-24
"MDTRINH","N","N","N","N",28-OCT-24
"NICOLEMH","N","N","N","N",28-OCT-24
"AFRADKIN","N","N","N","N",28-OCT-24
"JEHUTCHI","N","N","N","N",28-OCT-24
"WBMONSON","N","N","N","N",28-OCT-24
"NKIRKSEY","Y","N","N","Y",28-OCT-24
"LHAO","N","N","N","N",28-OCT-24
"REBOVICH","N","N","N","N",28-OCT-24
"RPENNY","N","N","N","N",28-OCT-24
"KRAHERN","N","N","N","N",28-OCT-24
"KTJ","N","N","N","N",28-OCT-24
"MTABARES","Y","Y","N","Y",28-OCT-24
"ORTONY","Y","N","N","N",28-OCT-24
"RMACFARL","Y","N","N","N",28-OCT-24
