"SUBJECT_GROUPING_KEY","TERM_CODE","DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_NAME","WAREHOUSE_LOAD_DATE"
"1994SP99.85","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.88","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.91","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.94","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.95","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.96","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.97","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.98","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1994SP99.UR","1994SP","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1995JA33.04","1995JA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1995JA99.91","1995JA","9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","Science",28-OCT-24
"1995SP22.97","1995SP","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1996JA44.UR","1996JA","4","Architecture","4-Architecture","Architecture and Planning",28-OCT-24
