"VIEW_ID","FIELD_ID","SENSITIVITY_ID","STATUS","INDEXED"
11432,5405,,"",""
11432,5407,,"",""
11432,22041,,"",""
11432,5408,,"",""
11432,5409,,"",""
11432,5410,,"",""
11432,5411,,"",""
11832,278,,"",""
11832,3207,,"",""
11832,22461,,"",""
11832,22462,,"",""
11432,5412,,"",""
11432,5413,,"",""
11432,5414,,"",""
11432,5415,,"",""
11432,5416,,"",""
11432,5417,,"",""
11432,5418,,"",""
11432,5419,,"",""
11432,5420,,"",""
11432,5421,,"",""
11432,5422,,"",""
11432,5423,,"",""
11432,5424,,"",""
11432,5425,,"",""
11432,5426,,"",""
11432,5427,,"",""
11432,5428,,"",""
11432,5429,,"",""
11432,8844,,"",""
11432,41,,"",""
11832,22463,,"",""
1613,278,,"",""
1613,281,,"",""
1613,282,,"",""
1613,280,,"",""
1613,509,,"",""
1613,485,,"",""
1613,308,,"",""
1613,309,,"",""
1613,285,,"",""
1613,332,,"",""
1613,353,,"",""
2179,5806,,"",""
2179,5807,,"",""
2179,5808,,"",""
2179,41,,"",""
4977,10343,,"",""
4977,10344,,"",""
4977,10345,,"",""
4977,10346,,"",""
4977,10347,,"",""
4977,10348,,"",""
4977,10349,,"",""
4977,10350,,"",""
4977,10351,,"",""
4977,10352,,"",""
4977,10353,,"",""
4977,10354,,"",""
4977,10315,,"",""
4977,10313,,"",""
4977,10355,,"",""
4977,10356,,"",""
5017,10383,,"",""
5017,10384,,"",""
5017,10315,,"",""
5017,10313,,"",""
5017,10369,,"",""
5116,10302,,"",""
11832,22464,,"",""
11832,4431,,"",""
11832,15938,,"",""
9617,278,,"",""
9617,283,,"",""
9617,3152,,"",""
9617,18644,,"",""
9617,596,,"",""
9617,6590,,"",""
9617,2476,,"",""
9617,2743,,"",""
9617,2744,,"",""
9617,11586,,"",""
9617,18645,,"",""
9617,6107,,"",""
9617,17608,,"",""
9617,18646,,"",""
9617,11588,,"",""
9617,11164,,"",""
9617,17610,,"",""
9617,586,,"",""
9617,587,,"",""
9617,588,,"",""
9617,593,,"",""
9617,3172,,"",""
9617,594,,"",""
9617,3173,,"",""
9617,595,,"",""
9617,3174,,"",""
9617,3162,,"",""
9617,421,,"",""
9617,398,,"",""
9617,10605,,"",""
9617,10604,,"",""
9617,41,,"",""
2773,278,,"",""
51,74,,"",""
51,200,,"",""
51,201,,"",""
51,204,,"",""
3738,8253,,"",""
3738,8251,,"",""
3738,8324,,"",""
3738,8325,,"",""
13353,278,,"",""
13353,13761,,"",""
13353,24421,,"",""
13353,24422,,"",""
13353,24423,,"",""
13353,41,,"",""
2353,422,,"",""
2353,6165,,"",""
2353,278,,"",""
13533,24654,,"",""
51,202,,"",""
51,203,,"",""
51,1615,,"",""
51,1616,,"",""
51,16,,"",""
51,17,,"",""
51,20,,"",""
51,21,,"",""
51,80,,"",""
51,8844,,"",""
51,4211,,"",""
51,15186,,"",""
51,1191,,"",""
51,1192,,"",""
51,1125,,"",""
51,30,,"",""
51,1193,,"",""
51,1770,,"",""
2161,3205,,"",""
2161,283,,"",""
2161,3225,,"",""
2161,286,,"",""
2161,287,,"",""
2161,289,,"",""
2161,3227,,"",""
2161,3229,,"",""
2161,3230,,"",""
2161,3231,,"",""
2161,1091,,"",""
2161,41,,"",""
51,26,,"",""
51,1327,,"",""
51,1329,,"",""
51,212,,"",""
51,422,,"",""
2353,6164,,"",""
2353,6166,,"",""
2353,588,,"",""
13533,24655,,"",""
13533,24656,,"",""
51,2304,,"",""
51,1200,,"",""
51,1391,,"",""
1275,3705,,"",""
1275,3706,,"",""
1275,3707,,"",""
1275,41,,"",""
51,1104,,"",""
51,1103,,"",""
51,1199,,"",""
51,1392,,"",""
51,31,,"",""
51,2282,,"",""
51,1599,,"",""
51,1600,,"",""
51,37,,"",""
51,1430,,"",""
51,3027,,"",""
51,1217,,"",""
